STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",01/07/2021,0.01,,61,53
USW00025333,"SITKA AIRPORT, AK US",02/07/2021,0,,60,52
USW00025333,"SITKA AIRPORT, AK US",03/07/2021,0,,66,54
USW00025333,"SITKA AIRPORT, AK US",04/07/2021,0,,60,55
USW00025333,"SITKA AIRPORT, AK US",05/07/2021,0,,65,55
USW00025333,"SITKA AIRPORT, AK US",06/07/2021,0,,59,54
USW00025333,"SITKA AIRPORT, AK US",07/07/2021,0,,58,53
USW00025333,"SITKA AIRPORT, AK US",08/07/2021,0.07,,58,53
USW00025333,"SITKA AIRPORT, AK US",09/07/2021,0.1,,57,53
USW00025333,"SITKA AIRPORT, AK US",10/07/2021,0,,60,51
USW00025333,"SITKA AIRPORT, AK US",11/07/2021,0.01,,60,51
USW00025333,"SITKA AIRPORT, AK US",12/07/2021,0.29,,60,54
USW00025333,"SITKA AIRPORT, AK US",13/07/2021,0.13,,57,52
USW00025333,"SITKA AIRPORT, AK US",14/07/2021,0.21,,58,51
USW00025333,"SITKA AIRPORT, AK US",15/07/2021,0.1,,60,50
USW00025333,"SITKA AIRPORT, AK US",16/07/2021,0.03,,61,54
USW00025333,"SITKA AIRPORT, AK US",17/07/2021,0.05,,63,56
USW00025333,"SITKA AIRPORT, AK US",18/07/2021,0.04,,63,57
USW00025333,"SITKA AIRPORT, AK US",19/07/2021,0,,70,55
USW00025333,"SITKA AIRPORT, AK US",20/07/2021,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",21/07/2021,0.01,,59,54
USW00025333,"SITKA AIRPORT, AK US",22/07/2021,0.03,,63,55
USW00025333,"SITKA AIRPORT, AK US",23/07/2021,0.31,,61,56
USW00025333,"SITKA AIRPORT, AK US",24/07/2021,0.17,,58,54
USW00025333,"SITKA AIRPORT, AK US",25/07/2021,0.08,,59,52
USW00025333,"SITKA AIRPORT, AK US",26/07/2021,0,,64,49
USW00025333,"SITKA AIRPORT, AK US",27/07/2021,0.03,,62,57
USW00025333,"SITKA AIRPORT, AK US",28/07/2021,0,,70,52
USW00025333,"SITKA AIRPORT, AK US",29/07/2021,0,,70,52
USW00025333,"SITKA AIRPORT, AK US",30/07/2021,0,,73,60
USW00025333,"SITKA AIRPORT, AK US",31/07/2021,0,,66,48
